NAME,GROWTH,FLOWER,YEAR,AFS #,DESCRIPTION,PARENTAGE,GROWER
ROYAL MOSAIC,TRAILER,DUBL,1991,2764,T.CREAM.S.CREAM PINK UPPER.PINK LOWER.TIPS RECURVED.C.PURPLE TO ROSE PURPLE.,ANN'S BEAUTY X DEEP PURPLE. 1992 IMPORT.,GARRETT
ROYAL PUEGOS,UPRT BUSH,SGLE,,,T&S.PINK.C.PURPLE FLUSHED CRIMSON.,PARENTAGE UNKNOWN. THOUGHT TO BE SYN.WITH RAOUL PUGNO.,LEMOINE
ROYAL PURPLE,UPRT BUSH,SIDL,1896,,T.SHORT CERISE.S.UPTURNED DEEP CERISE.C.RICH PURPLE.BASE LIGHTER.VEINED RED.,PARENTAGE UNKNOWN. CAN BE CONFUSED WITH LORD ROBERTS.,LEMOINE
ROYAL ROBE,UPRIGHT,DUBL,1957,,T&S.ALMOST WHITE.C.DARK PURPLE.LARGE FLOWERS.,PARENTAGE UNKNOWN.,WALKER
ROYAL TOUCH,TRAILER,DUBL,1964,597,T&S.ROSY PINK.C.ROYAL PURPLE.LARGE FLOWERS.,PARENTAGE UNKNOWN.,TIRET
ROYAL VELVET,VIG UPRT,DUBL,1962,526,T&S.CRIMSON RED.C.DEEP PURPLE.SPLASHED CRIMSON.,PARENTAGE UNKNOWN. CAN BE CONFUSED WITH ROYAL PURPLE.,WALTZ
ROYAL ZENITH,UPRT BUSH,DUBL,,,T&S.WHITE TIP GREEN.C.VIOLET PURPLE.WHITE BASE.,PARENTAGE UNKNOWN. SYN.WITH KING'S RANSOM.,UNKNOWN.N.Z
RUBENS,LAX-UPRT,SGLE,1880,,T&S.SCARLET ROSE C.PURPLE.GOLDEN COPPERY RED FOLIAGE.,SYN.BURNING BUSH-AUTUMNALE-CARTER'S METEOR.??,UNKNOWN
RUBEO,UPRT BUSH,SIDL,1947,,T&S.PALE CARMINE.C.ROSE BENGAL MARBLED GERANIUM LAKE.LARGE FLOWERS.,PARENTAGE UNKNOWN.,TIRET
RUBY JEWELS,TRAILER,SGLE,,,T&S.RUBY RED.C.PURPLE.FLOWERS.SMALL.SMALL SHRUB.,BREVIFLORAE TYPE. LISTED IN EARLY N.Z.CATALOGUES.,UNKNOWN.
RUFFLES,TRAILER,DUBL,1960,451,T.SHORT PINK.S.BROAD UPTURNED DEEP PINK.C.DEEP VIOLET.PETALOIDS PINK.,PARENTAGE UNKNOWN.,ERICKSON
RUFUS,UPR BUSH,SGLE,1952,177,T.S.& C.ALL TURKEY RED.,PARENTAGE UNKNOWN. INCORRECTLY KNOWN AS RUFUS THE RED.,NELSON
RUSTY,TRAILER,DUBL,1990,2586,T.GREENISH WHITE.S.WHITE VEINED LIGHT PURPLE.TIPS PALE GRN.C.REDDISH-PURPLE.,OVATION X (HAPPY WEDDING DAY X WHITE KING.92 IMPORT.LOST,RICHARDSON
RUTH,UPRT BUSH,SGLE,1949,,T&S.ROSY RED.C.PURPLISH RED.,PARENTAGE UNKNOWN.,WOOD
RUTHIE,UPRIGHT,DUBL,1951,88,SEPALS WHITE; COROLLA VIOLET BLUE,UNKNOWN,BRAND US
RUTTI TUTTI,TRAILER,DUBL,1991,2765,T.WHITE.S.PALE PURPLE UPPER.LIGHT ROSE LOWER.TIPS RELEXED.C.LIGHT PURPLE.,NANCY LOU X BELLA ROSELLA.92 IMPORT.UNCERTAIN IF CORRECT,GARRETT
SACRAMENTO,UPRT BUSH,SGLE,1946,,T.S.& C.SELF COLOURED WAXY LIGHT CARMINE.S.RECURVED,PARENTAGE UNKNOWN.,REITER
SAINT LOUIS,UPRT BUSH,,,,T&S.WHITE.C.MAUVE SPLASHED PINK.,PARENTAGE UNKNOWN. LISTED BY TINWALD FUCHSIAS.,UNKNOWN.N.Z
SALLY,TRAILER,DUBL,1967,725,T.WHITE.S.WHITE ON TOP PALE PINK UNDERNEATH.C.BRIGHT PALE LAVENDER.,PARENTAGE UNKNOWN.,CASTRO
SALMON GLOW,LAX-BUSH,SGLE,1978,1454,T.LONG THIN PALE SALMON.S.SALMON TIPS GREEN.C.ORANGE-SALMON.FLOWERS LONG.,PARENTAGE UNKNOWN.,HANDLEY
SALMON QUEEN,TRAILER,SGLE,,,TRIPHYLLA TYPE. S.SALMON ORANGE; C. LONG SALMON; FOLIAGE GREEN OVATE LEAVES.,UNKNOWN,UNKNOWN HOLL.
SALVIO,UPRT BUSH,DUBL,,,T&S.BLUISH WHITE.C.SOFT VIOLET.LARGE FLOWERS.,PARENTAGE UNKNOWN. LISTED BY GRO-WEL.,UNKNOWN.N.Z
SAM,UPRIGHT,DUBL,2005,5744,TUBE WHITE TIPPED GREEN; SEPALS; COROLLA REDDISH PINK; MATURING PURPLE PINK,NO INFORMATION,MICHIELS
SAMBA,UPRT BUSH,SIDL,1989,,T.PALE PINK FLUSHED GREEN.S.ROSE PINK.HORIZONTAL.C.RUBY RED.,WHITE GALORE X CHARLESTON.1997 IMPORT.NOT SAMBO REG.710,BRIDGLAND
SAMPAN,LABU-TRAL,DUBL,1965,651,T&S.ROSE PINK.C.ROSY RED.LARGE FLOWERS.LAX BUSH OR TRAIL.,PARENTAGE UNKNOWN.,TIRET
SAMPSON'S DELIGHT,TALL UPRT,SIDL,1980,1571,T.CARMINE PINK.S.CARMINE PINK ON TOP.CORAL UNDER.C.ROSE RED STREAKED CORAL.,ROY WALKER X ORANGE GLORY. 1992 IMPORT. LOST.,BARRETT
SAMSON,CASCADE,DUBL,1957,287,T.LONG PINK.S.PINK AND DEEP ROSE.C.DARK PLUM PURPLE.PINK BASE & VEINS.LARGE.,PARENTAGE UNKNOWN,PETERSON
SAN DIEGO,TRAILER,DUBL,1964,598,T&S.PINKISH WHITE.C.ROSY RED.LARGE FLOWERS.,PARENTAGE UNKOWN. SYN WITH SO-NICE IN N.Z.,TIRET
SAN FRANCISCO,CASCADE,SGLE,1941,,T.VERY LONG CARMINE ROSE.SEPALS LONG ROSE.C.GERANIUM LAKE.FLOWERS LONG.,ROBERT BLATRY X MRS.VICTOR REITER.,REITER
SAN JACINTO,UPRT BUSH,DUBL,1951,103,T&S.SHELL PINK.C.LILAC.FADING LILAC TO PINK.LARGE FLOWERS.,PARENTAGE UNKNOWN.,EVANS
SAN LEANDRO,VIG UPRT,DUBL,1949,,T&S.DARK CARMINE.C.MAGENTA.SHADING TO VERMILLION.LARGE BLOOMS.,PARENTAGE UNKNOWN.,BRAND
SAN LUIS OBISPO,UPRT BUSH,DUBL,1952,178,T&S.CARMINE.SEPALS WIDE.C.LIGHT PINK.VEINS RED.FLOWERS LARGE.,PARENTAGE UNKNOWN.,NELSON
SAN MATEO,TRAILER,DUBL,1946,,T&S.DEEP PINK.C.VERY DARK VIOLET WITH SPLASHES OF PINK.LARGE BLOOMS.,PARENTAGE UNKNOWN.,NIEDERHOLZER
SAN PABLO,TRAILER,DUBL,1948,,T&S.DEEP ROSE PINK.C.PINK AND LILAC.VERY LARGE FLOWERS.,SPORT FROM SAN MATEO.,CRUMLEY
SAN PASQUAL,UPRIGHT,SGLE,1986,1944,T.LONG THIN RED.S.RED.RECURVED TIPS.HORIZONTAL.C.PURPLISH-RED.MATURING RED.,CHECKERBOARD X UNKNOWN. 1992 IMPORT.,STUBBS
SAN SALVIO,,,,,NO DESCRIPTION.,PARENTAGE UNKNOWN. LISTED BY GRO-WEL.,UNKNOWN.N.Z
SANTA CLARA,TRAILER,DUBL,1969,833,T.SHORT.WHITE.S.WHITE.VARIEGATED ROSE.C.VERY DEEP PURPLE.FADING DARK ROSE.,PARENTAGE UNKNOWN. 1992 IMPORT.,PENNISI
SANTA CRUZ,UPRT BUSH,DUBL,1947,,T&S.DEEP CRIMSON.C.DARK CRIMSON.ALMOST A SELF.LRGE.,PARENTAGE UNKNOWN.,TIRET
SANTA LUCIA,UPRIGHT,DUBL,1956,,T& BROAD SEPALS DEEP RED.C.ORCHID PINK OUTSIDE PETALS OVERLAID SALMON ROSE.,PARENTAGE UNKNOWN.,MUNKNER
SANTA MONICA,TALL UPRT,DUBL,1935,,T&S.LIGHT RED.C.FLESH PINK STREAKED CERISE.LARGE BLOOMS.,ROLLA X FASCINATION.,EVANS
SANTA PAULA,,,,,NO DESCRIPTION. AVAILABLE IN THE AUCKLAND AREA.,WHERE DID THIS COME FROM.CAN FIND NO RECORD OF THIS NAME,
SAPPHIRE,UPRT BUSH,DUBL,1954,203,T.CREAMY WHITE.S.PINK INNER.FLUSHED PINK OUTER.C.DEEP PURPLISH BLUE.,PARENTAGE UNKNOWN.,WALTZ
SARAH JANE,UPRT BUSH,DUBL,1974,,T.VERY SHORT ROSE PINK.S.ROSY PINK.C.LILAC.BASE DEEPER LILAC.SMALL BLOOMS.,PARENTAGE UNKNOWN. NOT TO BE CONFUSED WITH SARA JANE.,PUTLEY
SARONG,LABU-TRAL,DUBL,1963,593,T.SHORT WHITE.S.LONG TWISTING WHITE.FLUSHED PINK.C.VIOLET-PURPLE.LARG FLRS.,PARENTAGE UNKNOWN.,KENNETT
SATELLITE,TALL UPRT,SGLE,1965,642,T&S.WHITE.TIPS GREEN.C.DARK RED FADES BRIGHT RED.PETALS STEAKED PURE WHITE.,PARENTAGE UNKNOWN.,KENNETT
SATURNUS,UPRT BUSH,SGLE,1970,,T.SHORT RED.SEPALS LONG AND ERECT RED.C.LIGHT PURPLE.RED VEINING.SMALL FLRS.,F.REGIA VAR.TYPICA X FRAU HENRIETTE ERNST.,DE GROOT
SCARCITY,LOW BUSH,SGLE,1869,,T.SHORT AND TAPERING SCARLET.S.DEEP SCARLET CERISE.C.PURPLE.BASE SCARLET.,PARENTAGE UNKNOWN.,LYE
SCARLET BABY,UPRT BUSH,SGLE,1941,,T&S.BRILLIANT CARMINE.C.DEEP PURPLE VIOLET.BASE CARMINE.,F.MAGELLANICA VAR.MOLINAE X. 1992 IMPORT. LOST.,NIEDERHOLZER
SCARLET O'HARA,UPRIGHT,DUBL,1986,2094,T.ROSE MADDER.SEPALS ROSE MADDER WITH RECURVED TIPS.C.MAGENTA.BELL SHAPED,(ETERNAL FLAME X (VOODOO X). RAISED BY SHARPE.,SHARPE.N.Z
SCHAKKEBROEK KERK 100,UP/TRAILER,DUBL,2009,,S WHITE UPPER GREEN TIPS; LIGHT PINK UNERSIDE.C. ORANGE PINK FUCHSIA PURPLE EDGING. ORANGE PETALOIDS. NO INFORM,NO INFORMATION,
SCHAPENKOPPEN,UPRIGHT,DUBL,2007,6336,SEPALS WHITE TIPPED YELLOW GREEN; CAROLLA PALE LAVENDER & WHITE,VREENI SCHLEEWEISS X KISS,MICHIELS
SCHMEXEL,LAX-BUSH,SIDL,,,T&S.SHELL PINK.C.CREAM.LARGE FLOWERS.,PARENTAGE UNKNOWN. LISTED IN ONE N.Z.CATALOGUE.,UNKNOWN.N.Z
SCHNABEL,CASCADE,SIDL,1971,1007,T&S.SALMON-ORANGE.C.ORANGE.LARGE FLOWERS.LARGE FOLIAGE.,PARENTAGE UNKNOWN.,ANTONELLI
SCHNEEWITTCHEN,UPRT BUSH,SGLE,,,T&S.DEEP PINK.C.PURPLISH PINK.FLOWERS SMALL.,PARENTAGE UNKNOWN. THIS NOT THE ORIGINAL SCHNEEWITTCHEN.,UNKNOWN
SCHWEIZER GRUSS,UPRT,SIDL,1973,,SEPALS RED; COROLLA BLUE,,NUTZINGER
SEA SHELL,UPRT BUSH,DUBL,1954,,T.& FULLY REFLEXED SEPALS WHITISH PINK.C.PINK.VEINED DEEPER PINK.LARGE FLRS,PARENTAGE UNKNOWN.,EVANS
SENNA KREKELS,UPRT TRAILER,DUBL,2003,5249,SEPALS WHITE; COROLLA REDDISH APURPLE,?SOPHIE MICHIELS X ? VEENLUST,VAN EIJK
SENSATION,TRAILER,SGLE,1962,545,T.PINK.S.LONG NARROW PINK.TIPS PALE GREEN. C.DEEP VIOLET BLUE.HUGE FLOWERS.,PARENTAGE UNKNOWN. TWO OF THIS NAME. BOTH SINGLE BLOOMS.,MUNKNER
SEQUOIA,UPRT BUSH,DUBL,1948,,T&S.RED.C.LIGHT LAVENDER WITH PINKISH CAST.LARGE FLOWERS.,SPORT FROM HONEYMOON.,PAPE
SERENA,UPRT BUSH,SGLE,1944,,T&S.CHERRY RED.C.LIGHT PURPLE.STREAKED DULL ORANGE.,PARENTAGE UNKNOWN.,WHITEMAN
SERENADE,VIG UPRT,SGLE,1951,101,T&S.SHELL PINK.C.CLEAR CERISE.FLOWERS LARGE.,PARENTAGE UNKNOWN.,EVANS
SERRATIFOLIA,LAX-UPRT,SGLE,1802,,SPECIES. FOUND IN PERU 1845.,SPECIES. SYN.WITH DENTICULATA.,RUIZ
SEVENTEEN,UPRT BUSH,DUBL,1947,,T&S.ROSY PINK.C.ROSE MADDER ALMOST A SELF.,PARENTAGE UNKNOWN.,REITER
SEVENTH HEAVEN,TRAILER,DUBL,1981,1620,T.SHORT THICK GREENISH WHITE.S.LONG WHITE.C.ORANGE RED.SHADING ORANGE WHITE.,PEPI X APPLAUSE.,STUBBS
SHADY BLUE,UPRIGHT,SGLE,1970,880,T.SHORT ROSE.SEPALS WIDE CARMINE ROSE.C.VIOLET.EDGED BLUEBIRD BLUE.,UPWARD LOOK X CAROLINE.,GADSBY
SHADY LADY,UPRIGHT,DUBL,1970,901,T.PINK.SEPALS PINK BROAD.C.WHITE.VERY LARGE FLOWERS.,TRADE WINDS X LA-NEIGE.,STUBBS
SHALOM,UPRIGHT,DUBL,1995,3376,T.ROSE.S.ROSE PINK.EDGED ROSE.PALER CENTRE.C.PALE GREYISH BLUE.ROSE BASE.,PARENTAGE UNKNOWN.,TAYLOR.N.Z
SHANGRI LA,TRAILER,DUBL,1963,573,T.DARK PINK.SEPALS DARK PINK.UPSWEPT TO TUBE.C.WHITISH PINK.BASE VEINS PINK.,PARENTAGE UNKNOWN.,MARTIN
SHANNON,,,,,SAME AS ALGERINE,,D.TAYLOR NZ
SHARON,TRAILER,SIDL,1948,,T&S.PALE SCARLET.C.ROSE BENGAL.SPLASHED GERANIUM LAKE.,PARENTAGE UNKNOWN,TIRET
SHASTA,LABU-TRAL,DUBL,1964,614,T&S.PALE PINK TO WHITE EDGED.C.WHITE.PETALOIDS TOUCHED PINK.,PARENTAGE UNKNOWN.,KENNETT
SHEILA,UPRT BUSH,DUBL,1973,1091,T.PINK.S.DEEP PINK.CREPE INNER.SHINY PINK OUTER.C.LAVENDER AND PINK.,PARENTAGE UNKNOWN.,FRANCESCA
SHEILA CROOKS,UPRT BUSH,DUBL,1985,,T&S.BRILLIANT RED.C.BLUISH PURPLE. 1997 IMPORT BY HAYES.,PARENTAGE NOT STATED. 1997 IMPORT BY HAYES,CROOKS
SHELFORD,UPRIGHT,SIGL,1986,,T.SHORT THICK PINK.S.LONG NARROW BABY PINK WITH WHITE TIPS.C.WHITE.,PARENTAGE NOT STATED. 1997 IMPORT BY HAYES.,ROE
SHELLY LYNN,TRAILER,DUBL,1968,795,T&S.CLEAR WHITE.C.CLEAR DEEP LILAC.LARGE FLOWERS.,PARENTAGE UNKNOWN.,TIRET
SHELLY,UPRT BUSH,SGLE,,,T.S.& C.ALL ORANGE SELF.LARGE FLOWERS.,PARENTAGE UNKNOWN. COULD BE SYN.WITH ORANGE FLARE.,UNKNOWN.N.Z
SHERYL ANN,VIG UPRT,DUBL,1958,331,T.RED.S.THICK BRIGHT RED.C.WHITE.FLUSHED RED AT CENTRE.VEIN RED.LARGE BLOOMS,PARENTAGE UNKNOWN. SIMILAR TO BUT LARGER THAN SWINGTIME,PETERSON
SHIRLEY,,,,,SEPALS PILLAR BOX RED; COROLLA WHITE,NO INFORMATION,
SHIRLEY SAVAGE,UPRT BUSH,SGLE,1981,1646,T.CRIMSON THIN.S.SHORT WIDE AND HORIZONTAL CRIMSON.C.VIOLET.VEINED ROSE.,PARENTAGE UNKNOWN. 1992 IMPORT. LOST.,HOBBS.L
SHOOTING STAR,UPRT BUSH,SIDL,1965,631,T&S.SALMON RED.C.PURPLE CENTRE.OUTER PETALS PURPLE TO SALMON RED.STAR SHAPE,PARENTAGE UNKNOWN. TWO OF THIS NAME.,MARTIN
SHOWERS OF STARS,UPRIGHT,SGLE,1900,,T&S.DEEP RED.C.WHITE FADING TO SOFT PINK. NOT AS IN BOULLEMIER.,PARENTAGE UNKNOWN. KNOWN IN AUSTRALIA AS ECLAT.,UNKNOWN
SHY LADY,UPRT BUSH,DUBL,1955,227,T.SHORT.S.BROAD POINTED & UPTURNED IVORY-WHITE.C.CREAMY IVORY TO PALE PEACH.,PARENTAGE UNKNOWN.,WALTZ
SIERRA BLUE,TRAILER,DUBL,1957,313,T.SHORT WHITE.S.WHITE INNER.FLUSHED PINK OUTER.C.SILVERY BLUE LILAC.LARGE.,PARENTAGE UNKNOWN.,WALTZ
SILVER ANNIVERSARY,LABU-TRAL,DUBL,1985,1818,T.WHITE.S.WHITE TINGED ORCHID.FULLY REFLEXED.C.SILVER BLUE TO ORCHID BLUE.,SUGAR BLUES X PINK MARSHMALLOW. 1992 IMPORT.,STUBBS
SILVER BLUE,UPRT BUSH,DUBL,1957,298,T.SHORT WHITE.S BROAD WHITE.PINK BASE.TIPS GREEN.C.SILVER BLUE.LARGE BLOOMS.,PARENTAGE UNKNOWN.,HODGES
SILVER DAWN,UPRT BUSH,DUBL,1983,,T.WHITE.S.LONG WHITE BROAD.TIPS GREEN.C.ASTER VIOLET SHADING TO RED AT BASE.,PARENTAGE UNKNOWN.,BELLAMY
SILVER DOLLAR,UPRT BUSH,SGLE,1985,,T&S.WHITE.C.ALL WHITE SELF.,PARENTAGE UNKNOWN.,MITCHINSON
SILVERADO,LABU-TRAL,DUBL,1956,270,T.& BROAD RECURVED SEPALS CREAMY WHITE PINK.C.SILVER PINK TO LAVENDER.LARGE.,PARENTAGE UNKNOWN. WAS FORMERLY KNOWN AS CINDERELLA.,WALTZ
SILVIA,UPRT BUSH,DUBL,1951,79,T.& THICK SEPALS LIGHT ROSE.C.PURE WHITE.,PARENTAGE UNKNOWN.,SCHNABEL
SINGAPORE GIRL,TRAILER,DUBL,1991,2738,T.WHITE.S.WHITE STREAKED MAGENTA OR WHITE.C.PURPLE MATURING VIOLET.,MICHELLE'S CREAM X MONTROSE VILLAGE.MULTIFORM BLOOMS.AUS,RICHARDSON
SIOBBAN,UPRT BUSH,SIDL,1976,1403,T.ROSE.S.HELD HORIZONTALLY WHITE.BASE ROSE.C.WHITE.BASE LIGHT PINK FLUSHED.,JOE KUSBER X NORTHUMBRIAN BELLE.,RYLE
SISTER ANN HALLEY,UPRIGHT,SGLE,1988,2311,T&S.ROSE.No.54B.LIGHT ROSE ON LOWER SURFACE.TIPPED GREEN.C.WHITE.,LOEKY X EDEN LADY. 1997 IMPORT BY HAYES.,CRAWSHAW
SISTER ESTHER,TRAILER,DUBL,1960,449,T&S.LIGHT PINK.C.AMETHYST VIOLET FADING TO PETUNIA PURPLE.,PARENTAGE UNKNOWN. LISTED ESTHER BUT REGISTERED ESTER.,MACHADO
SKYLINE,UPRT BUSH,SGLE,,,T&S.PALE RED C.LIGHT PINKISH PURPLE.,PARENTAGE UNKNOWN. LISTED EARLY N.Z.CATALOGUES.,UNKNOWN.N.Z
SKYLINER,LAX BUSH,SGLE,,,TUBE; LONG & PINK; S; LONG; THIN WHITE/PINK; COROLLA ROSE RED LONG PETALS MED BLOOMS,SEEDLING FROM CELIA SMEDLEY,
SLEEPY,LOW BUSH,SGLE,1954,,T&S.PALE PINK.C.LAVENDER BLUE.FADING TO PINK.SMALL FLOWERS.,PARENTAGE UNKNOWN.,TABRAHAM
SLEEPYTIME,TRAILER,DUBL,,,T.PINK.S.LIGHT RED SHADING TO DEEP RED.TIPS GREEN.C.DEEP MAUVE.LARGE FLOWERS,PARENTAGE UNKNOWN. RAISED AUSTRALIA.,LOCKERBIE
SLEIGH BELLS,UPRT BUSH,SGLE,1954,196,T.LONG SLIM WHITE.S.WHITE LONG.TIPS GREEN.C.WHITE.SELF.BELL SHAPED.,PARENTAGE UNKNOWN.,SCHNABEL
SMOKEY MOUNTAIN,LABU-TRAL,DUBL,1987,2197,T.REDDISH PINK.S.WHITISH PINK INNER.PINK OUTER.TIPS GREEN.C.SMOKY PURPLE.,SANTA CLARA X CORSAGE.,WOOD
SMOKEY STAR,,DUBL,1996,,NO INFORMATION,MARCUS GRAHAM X.,M.NELSON.NZ
SNOW BURNER,LAX- BUSH,DUBL,1975,,T&S.BRIGHT RED.C.WHITE.VEINS RED.HUGE FLOWERS.,PARENTAGE UNKNOWN. RAISED AUSTRALIA.,LOCKERBIE
SNOWBALL,VIG UPRT,DUBL,1952,127,T.WHITE.S.LONG WHITE REFLEXED.BASE OF SEPALS PINK.C.CREAMY-WHITE.LARGE FLRS.,AMERICA X PAPER DOLLS,REITER
SNOWCAP,VIG UPRT,SIDL,1880,,T&S.BRIGHT RED.C.PURE WHITE.LIGHTLY VEINED CERISE.,F.MAGELLANICA VAR.MOLINAE X F.MAGELLANICA VAR.CONICA.,HENDERSON
SNOWDRIFT,TRAILER,SIDL,1966,680,T&S.WHITE.C.SNOW WHITE WITH TINGES OF PINK.FLOWERS LARGE.,PARENTAGE UNKNOWN. TWO OF THIS NAME.,KENNETT
SNOWFIRE,UPRT BUSH,DUBL,1978,1442,T.PINK.S.WHITE.WIDE AND TAPERED.C.BRIGHT PINK TO CORAL.VARIEGATED WHITE.,PINK MARSHMALLOW X FAN TAN.,STUBBS
SNOWSTORM,UPRIGHT,SIDL,1976,1371,T.THIN GREENISH-WHITE.S.WHITE.TIPS LIME GREEN.REFLEXED TO TUBE.C.WHITE.,PARENTAGE UNKNOWN.,HANDLEY
SNOWY SUMMIT,TRAILER,DUBL,1975,1259,T.WHITE.SEPALS WHITE.LONG AND BROAD.C.WHITE.,PINK MARSHMALLOW X WHITE KING.,STUBBS
SO BIG,TRAILER,DUBL,1955,228,T.LONG ROSY PINK.SEPALS LONG UPTURNED PALE PINK.C.CREAMY WHITE.FLOWERS HUGE.,PARENTAGE UNKNOWN.,WALTZ
SO NICE,TRAILER,DUBL,,,T&S.WHITE.FLUSH PINK.C.RED TO DEEP CORAL PINK.LARGE FLOWERS.,PARENTAGE UNKNOWN. SYN SAN DIEGO.,TIRET
SOFIE MICHIELS,UPRT TRAILER,DUBL,2002,4796,SEPALS LIGHT PINK; COROLLA WHITE,?ANNABEL X ANNABEL? X WALZ MANDOLINE X ANNABEL? X VRIJHELD,ROES
SOLDIER OF FORTUNE,UPRT BUSH,SIDL,1978,,T&S.SCARLET.SEPALS REFLEXED TO TUBE.C.WHITE.VEINS RED AT BASE OF PETALS.,(ANGELA LESLIE X BLUE LAGOON) X GOLDEN TREASURE.,HOBSON
SON OF THUMB,LOW UPRT,SGLE,1978,,T&S.CERISE.C.LILAC.FLOWERS SMALL.,SPORT FROM TOM THUMB.,GUBLER
SONATA,UPRIGHT,DUBL,,,T&S.PINK.C.WHITE.FLRS.LRGE. SIMILAR TO COLLINGWOOD AND SOUTHGATE.,PARENTAGE UNKNOWN. THIS NOT SONOTA WHICH IS A TRAILER.,SMITH.AUST.
SOPHISTICATED LADY,LABU-TRAL,DUBL,1964,609,T.PALE PINK.S.VERY LONG PALE PINK.C.WHITE LARGE FLOWERS.,PARENTAGE UNKNOWN.,MARTIN
SOUTH GATE,VIG LABU,DUBL,1951,,T.AND UPTURNED SEPALS PINK.C.SOFT POWDER PINK.LARGE FLOWERS.,PARENTAGE UNKNOWN.,WALKER
SOUTH PACIFIC,UPRT BUSH,SGLE,1951,85,T.CRIMSON.S.CRIMSON BROAD UPTURNED.C.WHITE.SAUCER SHAPE.,PARENTAGE UNKNOWN.,HODGES
SOUTH SEAS,LABU-TRAL,SIDL,1963,569,T&S.PALE PINK TO WHITE.C.SOFT PINK.CAN BE DOUBLE.,PARENTAGE UNKNOWN.,CASTRO
SOUTHBRIDGE BALLERINA,UPRT BUSH,DUBL,,,T&S.WHITE.C.WHITE.CENTRE FLUSHED PALE PINK.LARGE FLOWERS.,PARENTAGE UNKNOWN. RAISED BY McCONCHIE.,McCONCHIE.NZ
SOUTHERN BELLE,UPRT BUSH,DUBL,2004,,T & S PINK; COROLLA WHITE WITH PINK VEINING.,SPORT OF BROOKWOOD BELLE,B.HAYES NZ
SOUTHERN CROSS,UPRT BUSH,DUBL,1994,,T&S.RED.C.MAUVE.COROLLA SHAPED LIKE A CROSS. LISTED BY GRO-WEL.,PARENTAGE UNKNOWN. NEW RELEASE FOR 1995.RAISED AUSTRALIA,SCRASE
SOUTHERN SPRING,UPRT BUSH,SGLE,1990,2536,T.PINK STRIPED DARKER.S.PALE PINK.TIPS RECURVED.C.VIOLET MATURING LIGHTER.,WHITE KING X LA-CAMPANELLA. RAISED BY SHARPE.,SHARPE.N.Z
SOUTHERN TEMPTATION,,,,,,,
SOUTHLANDERS,UPRIGHT,SGLE,1971,951,T&S.WHITE.C.LAVENDER-PURPLE.FADING TO ROSE WITH WHITE MARBLING.ALMOST FLAT.,PARENTAGE UNKNOWN.,CASTRO
SOVEREIGN LADY,UPRIGHT,DUBL,1960,,T&S.SCARLET.C.WHITE.BLUSHED AND VEINED RED.,PARENTAGE UNKNOWN.T.SWEETMAN SAYS RAISED BY SMITH.AUST.,UNKNOWN
SPARKS,LABU-TRAL,SGLE,1980,1549,T.FLESH TO SALMON.S.LIGHT SALMON RECURVED.C.ORANGY CARMINE.,BUTTERCUP X CORSAGE.,STUBBS
SPARKY,UPRIGHT,SGLE,1994,,T&S.BEETROOT RED.C.ALL BEETROOT RED SELF. FOLIAGE AS F.PROCUMBENS.,THALIA X F.PROCUMBENS.TRIPHYLLA TYPE. 1997 IMPORT HAYES,WEBB
SPION KOP,LOW UPBU,DUBL,1973,1128,T.SHORT THICK ROSE.S.ROSE RED REFLEXED.C.WHITE.VEINED ROSE RED.LOW BUSH.,PARENTAGE UNKNOWN.,JONES.G
SPORTY ROSE,LAX BUSH,SGLE,1989,2497,T.WHITE.S.WAXY WHITE.HORIZONTAL WITH GREEN TIPS.C.DARK ROSE.BASE WHITE.,SPORT FROM HIDCOTE BEAUTY.KNOWN IN NZ.AS HIDCOTE DELIGHT,GAGE.AMERICA
SPRING BELLS,UPRT BUSH,SIDL,1972,,T&S.BRIGHT RED.C.CLEAR WHITE.LARGER THAN SNOWCAP.,THOUGHT TO BE A SPORT FROM SNOWCAP.,KOOIJMAN
SPRING BONNET,UPRT BUSH,DUBL,1959,396,T.WHITE.S.WHITE.FLUSHED PINK.C.LAVENDER-BLUE.LAVENDER PETALOIDS.,PARENTAGE UNKNOWN.,BRAND
ST.MORITZ,,,,,AWAITING DETAILS FROM GRO-WEL. NEW RELEASE.1995.,PARENTAGE UNKNOWN. IMPORTED FROM SCRASE.AUSTRALIA.1992,UNKNOWN.
STANLEY CASH,TRAILER,DUBL,1970,905,T.SHORT WHITE.S.SHORT WHITE TIPS GREEN.C.DEEP ROYAL PURPLE.LARGE BLOOMS.,PARENTAGE UNKNOWN.,PENNISI
STAR EYES,TRAILER,DUBL,1960,,T&S.LIGHT PINK TIPS GREEN.C.VIOLET BLUE.BLOTCHED ROSE.TWO DESCRIPTIONS.,PARENTAGE UNKNOWN. RAISED AUSTRALIA. 1992 IMPORT.,LOCKERBIE
STARBURST,UPRT BUSH,DUBL,1989,2415,T&S.RED.T.SHORT.S.WIDE.C.RED.HAS FOUR DISC SHAPED RED-PURPLE STAMINOIDS.,NETTALA X PRESIDENT ROOSEVELT. 1992 IMPORT.,McLAUGHLIN
STARDUST,UPRT BUSH,SGLE,1973,1134,T.THIN.T&S.SALMON-PINK OUTER.SALMON ORANGE INNER.C.ORANGE.CRIMSON EDGES.,PARENTAGE UNKNOWN.,HANDLEY
